track_id,race_date,race_number,program_number,trakus_index,latitude,longitude
AQU,2019-01-01,9,6  ,72,40.6729017197787,-73.8276065972899
AQU,2019-01-01,9,6  ,73,40.672945987033899,-73.827587266669497
AQU,2019-01-01,9,6  ,74,40.6729903067774,-73.827568024587293
AQU,2019-01-01,9,6  ,63,40.672509778989301,-73.827781021601794
AQU,2019-01-01,9,6  ,64,40.672552699664003,-73.827761550864395
AQU,2019-01-01,9,6  ,65,40.6725958007316,-73.827742146939102
AQU,2019-01-01,9,6  ,66,40.672639639209201,-73.827722501083699
AQU,2019-01-01,9,6  ,67,40.672683089500303,-73.827703010289895
AQU,2019-01-01,9,6  ,68,40.672725675560201,-73.827684071193005
AQU,2019-01-01,9,6  ,57,40.672242729998601,-73.827902781047499
AQU,2019-01-01,9,6  ,58,40.6722885487507,-73.827881902555305
AQU,2019-01-01,9,6  ,59,40.672334366986803,-73.827860986628295
AQU,2019-01-01,9,6  ,60,40.672377433012002,-73.827841310512099
AQU,2019-01-01,9,6  ,61,40.672422464402501,-73.827820772300001
AQU,2019-01-01,9,6  ,62,40.672466247334697,-73.827800813552201
AQU,2019-01-01,9,6  ,51,40.671977287718803,-73.828022877682997
AQU,2019-01-01,9,6  ,52,40.672020647206601,-73.828003617675506
AQU,2019-01-01,9,6  ,53,40.672065329023901,-73.8279835556515
AQU,2019-01-01,9,6  ,54,40.672109613649603,-73.827963615221805
AQU,2019-01-01,9,6  ,55,40.672155104705197,-73.8279429391159
AQU,2019-01-01,9,6  ,56,40.672199446658801,-73.827922608137001
AQU,2019-01-01,9,6  ,45,40.671712965610901,-73.828140106953796
AQU,2019-01-01,9,6  ,46,40.671756615859302,-73.828120649416505
AQU,2019-01-01,9,6  ,47,40.671801307284298,-73.828100871698595
AQU,2019-01-01,9,6  ,48,40.671846143084501,-73.828081026938804
AQU,2019-01-01,9,6  ,49,40.671888514918301,-73.828062250538096
AQU,2019-01-01,9,6  ,50,40.671932229136999,-73.8280428886723
AQU,2019-01-01,9,6  ,39,40.671446726545803,-73.828260081994699
AQU,2019-01-01,9,6  ,40,40.671490792903597,-73.828240218182501
AQU,2019-01-01,9,6  ,41,40.671534889204501,-73.828220252611004
AQU,2019-01-01,9,6  ,42,40.671578702745499,-73.828200443350099
AQU,2019-01-01,9,6  ,43,40.671623654842499,-73.828180143236096
AQU,2019-01-01,9,6  ,44,40.671667612310401,-73.828160442778
AQU,2019-01-01,9,6  ,71,40.672857538983301,-73.8276260006797
AQU,2019-01-01,9,6  ,70,40.672813531042898,-73.827645336354394
AQU,2019-01-01,9,6  ,69,40.6727695386178,-73.827664765181396
AQU,2019-01-01,9,6  ,80,40.673254745113503,-73.827453923587299
AQU,2019-01-01,9,6  ,79,40.6732105402684,-73.827473024667398
AQU,2019-01-01,9,6  ,78,40.673167257629203,-73.827491647460207
AQU,2019-01-01,9,6  ,77,40.673122747544802,-73.827510927814401
AQU,2019-01-01,9,6  ,76,40.673077870216297,-73.827530228033297
AQU,2019-01-01,9,6  ,75,40.673033845684301,-73.827549182566699
AQU,2019-01-01,9,6  ,86,40.673513772904897,-73.827339384332205
AQU,2019-01-01,9,6  ,85,40.673471009655501,-73.827358694763504
AQU,2019-01-01,9,6  ,84,40.673428634003798,-73.827377599390005
AQU,2019-01-01,9,6  ,83,40.673384954402898,-73.827396983781
AQU,2019-01-01,9,6  ,82,40.673341517066397,-73.827416167854906
AQU,2019-01-01,9,6  ,81,40.673298532780798,-73.827434940838401
AQU,2019-01-01,9,6  ,89,40.673639122426103,-73.827282278126802
AQU,2019-01-01,9,6  ,88,40.6735980843319,-73.827301076448506
AQU,2019-01-01,9,6  ,87,40.673555895672301,-73.827320320984001
AQU,2019-01-01,9,6  ,95,40.673891839749402,-73.8271704533595
AQU,2019-01-01,9,6  ,94,40.673849130381797,-73.827187869371201
AQU,2019-01-01,9,6  ,93,40.673806405021203,-73.827206823632494
AQU,2019-01-01,9,6  ,92,40.6737658189031,-73.827224922884994
AQU,2019-01-01,9,6  ,91,40.673722941244399,-73.827244198747906
AQU,2019-01-01,9,6  ,90,40.673680572199103,-73.827263376519696
AQU,2019-01-01,9,6  ,33,40.671188099863201,-73.828372984342295
AQU,2019-01-01,9,6  ,34,40.6712303935401,-73.828354947277901
AQU,2019-01-01,9,6  ,35,40.6712727791015,-73.828336754613602
AQU,2019-01-01,9,6  ,36,40.671314647547902,-73.828318663921706
AQU,2019-01-01,9,6  ,37,40.671358619674102,-73.828299408567105
AQU,2019-01-01,9,6  ,38,40.671402545751903,-73.828279911061898
AQU,2019-01-01,9,6  ,27,40.6709387841466,-73.828476356942105
AQU,2019-01-01,9,6  ,28,40.670978978315901,-73.828459997153203
AQU,2019-01-01,9,6  ,29,40.6710193673078,-73.828443509274393
AQU,2019-01-01,9,6  ,30,40.671061271992002,-73.828426192395597
AQU,2019-01-01,9,6  ,31,40.671103508852497,-73.828408583292898
AQU,2019-01-01,9,6  ,32,40.671145402480498,-73.828391083287201
AQU,2019-01-01,9,6  ,21,40.6706998844301,-73.828577466392403
AQU,2019-01-01,9,6  ,22,40.6707380970781,-73.828561411624193
AQU,2019-01-01,9,6  ,23,40.670777255883102,-73.828544754568497
AQU,2019-01-01,9,6  ,24,40.670817167997797,-73.828527559637607
AQU,2019-01-01,9,6  ,25,40.670856868297797,-73.828510500638799
AQU,2019-01-01,9,6  ,26,40.670897740238701,-73.828493286774204
AQU,2019-01-01,9,6  ,15,40.670484035231901,-73.828668980572203
AQU,2019-01-01,9,6  ,16,40.670517676659998,-73.828654897034099
AQU,2019-01-01,9,6  ,17,40.670551627277398,-73.828640506858903
AQU,2019-01-01,9,6  ,18,40.670587136565501,-73.828625305394695
AQU,2019-01-01,9,6  ,19,40.670624486324002,-73.828609274769804
AQU,2019-01-01,9,6  ,20,40.670661946042799,-73.828593368750205
AQU,2019-01-01,9,6  ,9,40.670319054696598,-73.828740560455998
AQU,2019-01-01,9,6  ,10,40.6703408347053,-73.828730965992193
AQU,2019-01-01,9,6  ,11,40.670365002246399,-73.828720338662393
AQU,2019-01-01,9,6  ,12,40.670392464528497,-73.828708144469502
AQU,2019-01-01,9,6  ,13,40.670422196975203,-73.828695084804593
AQU,2019-01-01,9,6  ,14,40.670452410136399,-73.828682178426405
AQU,2019-01-01,9,6  ,3,40.670237525632103,-73.828771951755598
AQU,2019-01-01,9,6  ,4,40.670243425296299,-73.828771083046206
AQU,2019-01-01,9,6  ,5,40.670252646649999,-73.828768534603299
AQU,2019-01-01,9,6  ,6,40.670264148955098,-73.828764450694905
AQU,2019-01-01,9,6  ,7,40.670279029777397,-73.828758259164005
AQU,2019-01-01,9,6  ,8,40.670297697354201,-73.828750021474406
AQU,2019-01-01,9,6  ,294,40.671038969584501,-73.832246788957704
AQU,2019-01-01,9,6  ,295,40.671008184747897,-73.8322627193469
AQU,2019-01-01,9,6  ,296,40.670977217082999,-73.832278822397598
AQU,2019-01-01,9,6  ,297,40.670947629251003,-73.832294159605397
AQU,2019-01-01,9,6  ,1,40.670228645066402,-73.828772961833394
AQU,2019-01-01,9,6  ,2,40.670232607700498,-73.8287725279217
AQU,2019-01-01,9,6  ,288,40.671225264888498,-73.832150959453401
AQU,2019-01-01,9,6  ,289,40.671193619719098,-73.832167100999499
AQU,2019-01-01,9,6  ,290,40.671162393707299,-73.832183060551301
AQU,2019-01-01,9,6  ,291,40.671130678607597,-73.832199297253595
AQU,2019-01-01,9,6  ,292,40.6710998707904,-73.832215213261406
AQU,2019-01-01,9,6  ,293,40.671069601543799,-73.832230929500199
AQU,2019-01-01,9,6  ,282,40.6714160916613,-73.832054005044697
AQU,2019-01-01,9,6  ,283,40.671383162018103,-73.832070592234103
AQU,2019-01-01,9,6  ,284,40.6713506999995,-73.832087000028395
AQU,2019-01-01,9,6  ,285,40.671318771569098,-73.832103260551506
AQU,2019-01-01,9,6  ,286,40.671287472131397,-73.832119266792205
AQU,2019-01-01,9,6  ,287,40.671256353025598,-73.8321351265906
AQU,2019-01-01,9,6  ,276,40.671619749157301,-73.831954069104199
AQU,2019-01-01,9,6  ,277,40.671584697561798,-73.831970900892301
AQU,2019-01-01,9,6  ,278,40.671549594555103,-73.831987932182599
AQU,2019-01-01,9,6  ,279,40.671515045123499,-73.832004819470001
AQU,2019-01-01,9,6  ,280,40.671481284071,-73.8320214412377
AQU,2019-01-01,9,6  ,281,40.671448606673401,-73.832037723188805
AQU,2019-01-01,9,6  ,270,40.671836904985803,-73.831851431431204
AQU,2019-01-01,9,6  ,271,40.671800819688499,-73.831868504674205
AQU,2019-01-01,9,6  ,272,40.671763422439803,-73.831886098934902
AQU,2019-01-01,9,6  ,273,40.6717271572521,-73.831903142696902
